color_rgb,proportion
"[181, 157, 134]",0.13125380725758476
"[119, 92, 72]",0.12625321237358714
"[237, 230, 220]",0.12531264128494943
"[36, 25, 18]",0.12178146936347413
"[21, 27, 42]",0.06521841165972635
"[212, 223, 234]",0.04892552052349792
"[139, 163, 184]",0.04696082688875669
"[75, 96, 119]",0.04369851279000595
"[42, 22, 31]",0.03469298036882808
"[227, 240, 234]",0.030627186198691255
"[121, 78, 95]",0.02548712076145152
"[237, 224, 231]",0.024513741820345034
"[20, 31, 23]",0.022957674003569305
"[181, 147, 161]",0.021365050565139796
"[78, 106, 87]",0.016701219512195123
"[144, 170, 154]",0.015381142177275431
"[161, 142, 67]",0.01384533016061868
"[219, 205, 130]",0.011525163593099345
"[141, 25, 52]",0.009721415823914337
"[192, 83, 121]",0.008255919095776323
"[192, 97, 78]",0.008054402141582392
"[41, 47, 119]",0.007656335514574658
"[79, 73, 32]",0.006034057108863772
"[118, 41, 30]",0.005833700178465199
"[104, 113, 182]",0.005225461035098156
"[65, 166, 123]",0.004215883402736467
"[175, 184, 221]",0.0035542236763831054
"[223, 170, 191]",0.002961511005353956
"[224, 178, 167]",0.002754283164782867
"[42, 164, 191]",0.0027047293277810826
"[40, 82, 51]",0.0019207614515169542
"[157, 213, 185]",0.0016939619274241524
"[145, 210, 224]",0.0013003866745984532
"[225, 218, 6]",0.0007301011302795955
"[29, 79, 89]",0.0006748364069006544
"[66, 23, 244]",0.00012088042831647828
"[248, 5, 44]",7.117787031528852e-05
"[253, 8, 5]",8.625817965496728e-06
"[14, 249, 197]",5.591909577632362e-06
"[2, 245, 251]",7.436049970255801e-07
